pubmed - neuroscience
year,count
2014,14879
2013,16537
2012,13680
2011,12645
2010,11254
2009,10785
2008,10175
2007,9484
2006,9001
2005,8159
2004,7694
2003,7249
2002,6593
2001,6024
2000,5826
1999,5367
1998,4650
1997,3877
1996,3522
1995,3277
1994,2845
1993,2527
1992,2323
1991,1949
1990,1845
1989,1519
1988,1469
1987,928
1986,467
1985,443
1984,437
1983,415
1982,388
1981,343
1980,320
1979,282
1978,208
1977,164
1976,155
1975,117
1974,168
1973,114
1972,146
1971,135
1970,182
1969,153
1968,106
1967,127
1966,115
1965,558
1964,768
1963,138
1959,10
1958,12
1957,16
1956,13
1955,18
1954,12
1953,12
1952,11
1951,8
1950,2
1948,1

